heading,review
" Disgrace to Indian cinema!","I can't believe people actually gave this movie 9 stars!!! Somebody even called it "nothing short of outstanding". That's true! It truly is standing out in stupidity. Let's admit it, SRK does not know how to act funny. Why should he try again and again to prove that wrong? SRK cannot do a Mahmood! Corny punch dialogues, a ridiculously untrue version of how a Tamilian talks and an absolutely nonsensical 'khichdi' story line are the highlights of Chennai Express. Deepika Padukone is kind of okay, but the rest of the star cast make a fool of themselves especially Nikitin Dheer as Thangbali. Imagine a leader in a village in Tamil Nadu, who speaks broken Tamil. the worst scene is towards the end when SRK and Deepika eye the hatchet and do a song sequence which includes Thangabali's henchmen. The most apt review that I read in any website or media site is Mayank Shekhar's review in the Dainik Bhaskar "You've paid for the ticket? Yes. Now just sit back and suffer."." 
" Boring","This Movie is really Boring.. Even though first Half is better and entertaining, movie eventually becomes so irritating after interval. My rating is 1 out of 10. Deepika's acting is good, but so many unwanted drama scenes are inserted in the movie.. which makes it a headache. Story is not that much interesting, and could be completed within 1 Hour and 50 Minutes. But No...!! Rohit Shetty pulled it with boring dialogs and drama scenes. Songs starts when they are undoubtedly NOT REQUIRED. there is a part in movie when there are 2 songs in 15 minutes of interval. Ending fight is too long to tolerate. and finally, movie ends in a DDLJ style, which is the most predictable from the maker of the movie.." 
" IMDb , please add 0 * option for the movies like this","First of all , Overacting , Overacting and again Overacting by srk .Previously , my thoughts were only salman khan do mindless flicks but now srk is also added to that list along with akshay kumar (For joker to Ouatimd) The PLOT was absolutely nothing and half of the dialogues were in tamil , aahhhh I don't know when rohit shetty will return of making good movies , the last time it was golmaal (2006) My suggestion , if you have watched Joker , Bodyguard etc and you hated it , don't watch this and if you've loved it , then also don't watch it Both OUATIMD and chennai disappointed us , lets wait and cross our fingers for Satyagrah Rating :- 01/10" 
" Stupid mindless movie, giving a 1 star would be overrating","I don't know how this movie managed to get the rating it has currently, but I can describe this movie easily in just one word - 'Disastrous' But what is really wrong with the movie? Simple answer-'Everything'. Right from the beginning, the movie strives to appeal to the audience through its ridiculous and irrational humor. The movie has tried an approach of comedy through modification of old hit songs to use it as communication and fails miserably at achieving its target (assuming its target was to amuse the audience and not to be vexatious). Leaving out Deepika Padukone, the other characters start with a complete Tamil comprehension and gradually we find everyone can speak Hindi or English whenever they feel like. If the aspect of acting was to be examined, it was not difficult to conclude that both the stars were overacting and if anyone was doing his job well it was Mukesh Tiwari (which too was not very engaging). On another note, it would not be wrong to categorize Chennai Express as a Tamil movie taking into consideration that more than half the movie is Tamil and for the rest someone is acting as an interpreter. The language issue does not end here; the songs are mix of Hindi and Tamil which are hard to comprehend. Other songs which are recognizable felt drab and lack any meaningful lyrics with one or two exceptions which hardly compensate the negative subjects of the movie.Unfortunately, I had to give a rating of 1 star to this movie because it isn't possible to give a zero. Rather in my opinion, this movie deserves a negative and could without a hitch serve as a benchmark for the worst movies made in Bollywood." 
" Brainless Action Flick By SRK","In tandem with the current trend of commercialization of the Hindi film industry, SRK has now released a movie which is about to make it to the so called 100 crore rupees club albeit it does not deserve even 10%. What it earns is only because of the publicity and marketing gimmicks by the superstar who hopes that people should worship him like the Tamil and Telgu movie stars. The movie has a very limited story which can be explained in a minute. There are no twists. Blatant advertising is used to increase revenue. Cinematography is good but with cheap script and acting make it fall in the shadows. The entire movie is based on SRK and dipika who entirely occupy the screen space. The songs have the most mindless lyrics and numbing tunes which are easily forgotten. The most unfortunate thing is to see an aging superstar who had produced great pieces of acting in his early days resort to promoting his own acting in a film which has no original acting. Watching the movie in theater is a waste of money..." 
" It is beyond belief how this movie got good reviews","I wonder how can this movie be the top revenue grosser in India ?! I doubt that Indian audience is so crazy for a bad story, badly acted , stereotypical formula movie on which they are splurging their hard earned money. This movie has to be one of the worst I have ever seen. It has absolutely no entertainment value.SRK is terrible in this movie, not that he has impressed me with his acting skills in any movie. Deepika Padukone is absolutely gorgeous, but, her performance in this movie lacks acting skills. Is it the director who does not bring out the best in her, or is it the Indian audience who just wants " Time Pass " movies with just a couple of beautiful faces, stupid story line and making fun of dwarfs!! OMG this is such a terrible movie and got such good reviews ! Probably the reviews are paid for as a marketing gimmick." 
" One of the worse movies I have ever seen.","I have no idea why this movie is getting such good ratings. The movie was a pain to watch, with a handful of original comic moments. Shah Rukh Khan did a pretty horrible job of acting. Its disappointing that this movie is doing so well in the box office. Seriously, where are Bollywood's standards. I understand this is supposed to be a comedy/drama movie, but come on. Oh well, its made by Rohit Shetty, could not have expected anything better. The direction is horrible, more of a Tamil/Tollywood movie than a Bollywood movie. Cars flying, hero beating the crap out of 20 guys at once, I guess that turns on the audience. VERY DISAPPOINTING MOVIE. NOT WORTH THE MONEY." 
" 3rd class movie","First of all I'm quite surprised that how this movie got 7.5 in IMDb. story : Same as typical Bollywood movies. There are no new in this story. Within 15 minutes you can guess the story properly. Cast :Deepika Padukone did excellent job in this movie. But I was expected little more from SRK. Director: Rohit sir did the same job like his other movies. But there was no room for comedy. There are few punch lines. Songs: Songs are good. Title and lungi dance are catchy. Cinematography : Cinematography was excellent. I really appreciate for this. Overall: If you want to see this movie then wait for just 1 month.Don't buy tickets for this kind of movie. If you are a sensible movie lover then you don't need to watch this movie in theater." 
" Chennai Express - Anything but Mindless","‎ChennaiExpress‬ - The movie delivered what promised and that is sheer ENTERTAINMENT. Since it was a Rohit Shetty movie, I entered the theater having a mindset of seeing those illogical stunts and gravity defying action, but I was really surprised to see a "toned" down Rohit Shetty in this movie. Yes there were few action scenes here and there, but it was not very "over the top" as was synonymous with a Shetty movie. For me, I will not tag it as a complete "no brainer mindless masala flick", as it surely isn't. Coming to acting, SRK's comic timing was impeccable even when he was hamming through the scenes, it was done with a purpose, but finally it was Deepika Padukone who stole the hearts with her endearing performance. And did I mention it was funny, rather hilarious at times. A complete Family Entertainer. Those who don't feel laughing their hearts out won't hurt their intellect, will surely love this movie" 
" Utter drivel","Will Rohit Shetty ever make a decent watchable movie? His other works of art include Bol Bacchan, Golmaal series but this one still manages to top the lot.The script would bore a five-year old. It has no depth whatsoever. The characters are totally mindless. Shah Rukh Khan is incapable of acting in a normal, believable role. His usual brand of hyperbole is starting to wear thin (apparently not with the average audience though).Deepika Padukone is the only saving grace.The movie doesn't even deserve the one star that I am forced to give it because of the IMDb rating system. I want my money and three hours back." 
